id,title,date,article_url,place_of_accident,district,number_of_deaths,number_of_injured,vehicle_type,cause_of_accident,country,report_type,type_of_accident
4223,Narayanganj road crash kills 8,2018-02-26 17:24:59,https://en.prothomalo.com/bangladesh/Narayanganj-road-crash-kills-nine,tribardi,sonargaon,8,0,bus and covered van,head-on collision,Bangladesh,event,road accident
4226,Habiganj road crash kills 2,2018-03-21 13:03:27,https://en.prothomalo.com/bangladesh/Habiganj-road-crash-kills-2-2,dhaka-sylhet highway at daulatpur,bahubal upazila,2,0,"bus, cng-run auto-rickshaw",bus rammed a cng-run auto-rickshaw,Bangladesh,event,road accident
4227,Home minister asks students to return home to avoid sabotage,2018-08-02 21:35:57,,streets,,0,0,,acts of sabotage,Bangladesh,event,road accident
4229,6 indicted over death of 2 students,2018-09-06 17:55:02,,airport road,dhaka,2,0,,,Bangladesh,event,road accident
4230,Ctg road crash kills 2,2018-02-12 09:47:56,https://en.prothomalo.com/bangladesh/Ctg-road-crash-kills-2-2,chittagong-cox's bazar road of patia,chittagong,2,3,"truck, auto rickshaw",truck hit auto rickshaw from behind,Bangladesh,event,road accident
4231,Ctg road crash kills 2,2018-02-12 09:47:56,https://en.prothomalo.com/bangladesh/Ctg-road-crash-kills-2-3,chittagong-cox's bazar road of patia,chittagong,2,3,"truck, auto rickshaw",truck hit auto rickshaw from behind,Bangladesh,event,road accident
4239,Gopalganj road crash kills 2,2018-04-08 13:21:17,https://en.prothomalo.com/bangladesh/Gopalganj-road-crash-kills-2,sadar upazila,gopalganj,2,20,passenger bus,fell into a roadside ditch,Bangladesh,event,road accident
4242,Road crashes kill 5,2018-06-17 17:58:22,https://en.prothomalo.com/bangladesh/Road-crashes-kill-4,noakhali and thakurgaon districts,"noakhali, thakurgaon",5,0,,,Bangladesh,event,road accident
4244,Youth loses arm in Rajshahi road crash,2018-05-28 17:38:32,https://en.prothomalo.com/bangladesh/Youth-loses-right-arm-in-Rajshahi-road-crash,rajshahi's putia upazila,rajshahi,0,1,"bus, truck","truck rammed into the bus, severing the victim's arm",Bangladesh,event,road accident
4245,Road crashes claim 6 lives,2018-04-16 12:22:06,https://en.prothomalo.com/bangladesh/Road-crashes-claim-6-lives,porsha and potnitala upazilas,naogaon,6,0,,,Bangladesh,event,road accident
4248,5 missing in boat capsize,2018-03-24 11:26:21,,shitalakkhya river,rupganj upazila of narayanganj district,5,0,"boat, cargo vessel",hit by a cargo vessel,Bangladesh,event,road accident
4253,App-based ride sharing services getting popular,2019-05-08 13:56:33,https://en.prothomalo.com/bangladesh/App-based-ride-sharing-services-getting-popular,dhaka,dhaka,0,0,"motorbikes, cars",lack of formal legal recognition and policy implementation,Bangladesh,event,road accident
4259,2 killed in Gaibandha road crash,2018-01-26 12:06:02,,jundoho bazar,gaibandha,2,0,"motorcycle, truck",truck knocked down motorcycle,Bangladesh,event,road accident
4261,Minor girl killed in Jashore road crash,2018-04-22 17:51:48,https://en.prothomalo.com/bangladesh/Minor-girl-killed-in-Jashore-road-crash,hogladanga village on manirampur-noapara road,manirampur,1,0,motorcycle,motorcycle hitting a girl,Bangladesh,event,road accident
4265,SC stays order on compensation to Rajib’s family,2018-05-22 12:03:57,https://en.prothomalo.com/bangladesh/SC-stays-order-on-compensation-to-Rajib’s-family,dhaka,dhaka,1,0,bus,,Bangladesh,event,road accident
4267,Youth loses leg in road crash,2018-04-30 11:59:05,https://en.prothomalo.com/bangladesh/Yet-another-youth-loses-a-leg-in-Dhaka,jatrabari,dhaka,0,1,bus,speeding,Bangladesh,event,road accident
4268,3 killed as 2 motorbikes collide head-on,2018-04-30 11:55:17,https://en.prothomalo.com/bangladesh/3-killed-as-2-motorbikes-collide-head-on,dinajpur-gobindaganj highway at jaliapara in sadar upazila,sadar upazila,3,1,motorcycles,head-on collision,Bangladesh,event,road accident
4269,'Ensure security to children',2018-08-04 13:37:04,https://en.prothomalo.com/bangladesh/Ensure-security-to-children,airport road,dhaka,2,0,,reckless driving and lack of road safety measures,Bangladesh,event,road accident
4271,"Natore road crash kills father, daughter",2017-12-28 21:12:46,,bypass road,natore,2,0,"bus, motorcycle",bus rammed motorcycle,Bangladesh,event,road accident
4273,Ctg minor girl crushed under wardrobe,2018-03-04 16:50:51,,sanoara residential area,chittagong,1,0,falling wardrobe/almirah,crushed under falling wardrobe/almirah,Bangladesh,event,road accident
4275,"Transport act to serve owners, workers: Mozammel",2018-09-23 13:05:26,https://en.prothomalo.com/bangladesh/Transport-act-to-serve-owners-workers-Mozammel,bangladesh,,0,0,,,Bangladesh,event,road accident
4278,Students block Airport Road protesting at 2 fellows’ death,2018-08-01 15:30:56,https://en.prothomalo.com/bangladesh/Students-block-Airport-Road-protesting-at-2,dhaka airport road,dhaka,2,0,,road crash,Bangladesh,event,road accident
4279,"Bus runs over students waiting beside city road, 2 dead",2018-08-01 13:19:37,https://en.prothomalo.com/bangladesh/2-school-students-killed-as-city-bus-hit-a-dozen,"airport road, kurmitola",dhaka,2,13,bus,speedy bus ran over them,Bangladesh,event,road accident
4286,Human hauler ride takes 2 lives,2018-06-22 12:19:10,https://en.prothomalo.com/bangladesh/Human-hauler-ride-takes-2-lives,helipad area of charfassion upazila,bhola,2,6,human hauler and a trolley,collision,Bangladesh,event,road accident
4287,Satkhira road crash kills 2,2018-02-04 11:46:35,https://en.prothomalo.com/bangladesh/Satkhira-road-crash-kills-2-2,satkhira-khulna road at chuknagar,satkhira,2,0,"bus, motorcycle",bus crashed into their bike,Bangladesh,event,road accident
4289,Univ student killed in Dhaka road accident,2014-08-22 22:25:45,https://en.prothomalo.com/bangladesh/Univ-student-killed-in-Dhaka-road-accident,begum rokeya sarani at taltola,dhaka,1,0,,,Bangladesh,event,road accident
4290,3 workers killed in Panchagarh roof collapse,2018-03-10 12:47:52,https://en.prothomalo.com/bangladesh/3-workers-killed-in-Panchagarh-roof-collapse,khanpukur area,panchagarh,3,3,refueling station roof,roof collapse,Bangladesh,event,road accident
4292,2 killed in traffic accidents,2014-08-22 15:32:07,https://en.prothomalo.com/bangladesh/2-killed-in-traffic-accident-in-Kalihati,eastern intersection approaching bangabandhu bridge,tangail,2,3,,separate traffic accidents,Bangladesh,event,road accident
4298,Gopalganj bus owners call off strike,2018-04-11 10:16:46,https://en.prothomalo.com/bangladesh/Gopalganj-bus-owners-call-off-strike,gopalganj,gopalganj,0,0,bus,strike,Bangladesh,event,road accident
4300,Rajib's condition unstable,2018-04-11 10:03:33,https://en.prothomalo.com/bangladesh/Rajib-s-condition-unstable,karwan bazar,dhaka,0,1,bus,collision between two buses,Bangladesh,event,road accident
4305,Road crash claims lives of 2 fish traders,2018-04-08 23:27:52,https://en.prothomalo.com/bangladesh/Road-crash-claims-lives-of-2-fish-traders,natore-bogura road at boiradighi,shahjahanpur,2,2,"cng-run auto-rickshaw, truck",truck hit auto-rickshaw,Bangladesh,event,road accident
4309,2 killed in Panchagarh road crash,2018-02-24 16:33:04,https://en.prothomalo.com/bangladesh/2-killed-in-Panchagarh-road-crash-2,barister bazar area on panchagarh-tetulia highway,panchagarh,2,0,"truck, motorcycle",truck crashed a motorcycle,Bangladesh,event,road accident
4310,2 killed in Panchagarh road crash,2018-02-24 16:33:04,https://en.prothomalo.com/bangladesh/2-killed-in-Panchagarh-road-crash,barister bazar area on panchagarh-tetulia highway,panchagarh,2,0,"truck, motorcycle",truck crashed a motorcycle,Bangladesh,event,road accident
4311,Vessel capsized near Sundarbans yet to be salvaged,2018-04-17 22:32:52,https://en.prothomalo.com/business/Vessel-capsized-near-Sundarbans-yet-to-be-salvaged,pashur river,mongla upazila,0,0,vessel,capsized,Bangladesh,event,road accident
4312,Collision of two trucks kills 1,2018-02-12 18:26:28,https://en.prothomalo.com/bangladesh/Collision-of-two-trucks-kills-1,chandipasha area of mymensingh-kishoreganj road,mymensingh,1,4,truck,road accident,Bangladesh,event,road accident
4315,Woman killed while crossing capital road,2018-01-20 15:35:55,https://en.prothomalo.com/bangladesh/Woman-killed-while-crossing-capital-road,malibagh bazar,dhaka,1,0,,,Bangladesh,event,road accident
4316,Shaheed Ramiz Uddin Cantonment College gets 5 buses,2018-08-04 13:47:11,https://en.prothomalo.com/bangladesh/Shaheed-Ramiz-Uddin-Cantonment-College-gets-5,shaheed ramiz uddin cantonment college,dhaka,0,0,bus,,Bangladesh,event,road accident
4318,Gazipur road crash kills 3,2018-01-31 12:16:44,https://en.prothomalo.com/bangladesh/Gazipur-road-crash-kills-3-2,mc bazar on dhaka-mymensingh highway,gazipur,3,2,pick-up van,driver lost control over the steering,Bangladesh,event,road accident
4319,Gazipur road crash kills 3,2018-01-31 12:16:44,https://en.prothomalo.com/bangladesh/Gazipur-road-crash-kills-3,mc bazar on dhaka-mymensingh highway,gazipur,3,2,pick-up van,driver lost control over the steering,Bangladesh,event,road accident
4322,Cargo vessel sinks near Sundarbans,2018-04-15 17:46:36,https://en.prothomalo.com/bangladesh/Cargo-vessel-sinks-near-Sundarbans,pashur river in mongla upazila near sundarbans,bagerhat,0,0,cargo vessel,capsized in the river after loading coal from mother vessel and stuck in a hidden shoal.,Bangladesh,event,road accident
4325,Pabna road crash kills 2,2018-01-19 16:05:48,https://en.prothomalo.com/bangladesh/Pabna-road-crash-kills-2,pabna-ishwardi highway in tentultola area,ishwardi,2,5,"auto rickshaw, bus",bus hit the auto rickshaw,Bangladesh,event,road accident
4327,Newlywed couple killed in road crash,2018-04-04 15:16:04,https://en.prothomalo.com/bangladesh/Newlywed-couple-killed-in-road-crash,digharkanda bypass intersection on dhaka-mymensingh highway,mymensingh,2,3,"private car, oil tanker",private car crashed into a stationary oil tanker,Bangladesh,event,road accident
4329,Rajshahi road crash kills 2,2018-02-20 13:30:22,https://en.prothomalo.com/bangladesh/Rajshahi-road-crash-kills-2-2,rajshahi-chapainawabganj highway in kamarpara area of godagari upazila,rajshahi,2,20,bus,head-on collision,Bangladesh,event,road accident
4332,Schoolboy killed in Joypurhat brick kiln,2018-02-19 14:11:35,,brick kiln,akkelpur,1,0,,mudslide,Bangladesh,event,road accident
4335,Woman’s leg crushed under city bus,2018-04-12 11:30:18,https://en.prothomalo.com/bangladesh/Woman’s-leg-crushed-under-city-bus,farmgate area,dhaka,0,1,bus,caught between a road divider and a bus,Bangladesh,event,road accident
4337,2 motorcyclists killed in Faridpur road crash,2018-03-12 12:52:18,https://en.prothomalo.com/bangladesh/2-motorcyclists-killed-in-Faridpur-road-crash,lohartek village,charbhadrasan,2,1,motorcycle,hit a roadside tree,Bangladesh,event,road accident
4340,Ctg road crash kills 2 motorcyclists,2018-01-27 13:59:32,,"kagojipara, patia upazila, chittagong-cox's bazar highway",chittagong,2,0,"motorcycle, bus",bus knocked down motorcycle,Bangladesh,event,road accident
4344,Comilla road crash kills minor,2018-02-03 11:34:56,https://en.prothomalo.com/bangladesh/Comilla-road-crash-kills-minor,comilla-noakhali road in natherpetua area,comilla,1,0,,crossing road,Bangladesh,event,road accident
4347,College student goes missing in Padma river,2018-03-19 11:52:20,https://en.prothomalo.com/bangladesh/College-student-goes-missing-in-Padma-river,padma river,rajshahi,0,0,,missing while returning,Bangladesh,event,road accident
4350,'66pc buildings in RAJUK areas unplanned',2019-03-30 19:40:47,https://en.prothomalo.com/bangladesh/66pc-buildings-in-RAJUK-areas-unplanned,dhaka,dhaka,0,0,,unplanned construction,Bangladesh,event,road accident
4352,Manikganj road crash injures 30,2017-12-27 16:43:49,https://en.prothomalo.com/bangladesh/Manikganj-road-crash-injures-30,second golra area on the dhaka-aricha highway in saturia upazila,manikganj,0,30,buses,head-on collision,Bangladesh,event,road accident
4353,Transport workers issue 21-day ultimatum,2018-10-29 20:26:26,https://en.prothomalo.com/bangladesh/Transport-workers-issue-21-day-ultimatum,bangladesh,,0,0,,transport strike,Bangladesh,event,road accident
4356,3 killed in Kishoreganj traffic accident,2014-08-21 15:25:16,https://en.prothomalo.com/bangladesh/3-killed-in-Kishoreganj-traffic-accident,pakundia upazila,kishoreganj,3,7,bus and electric auto-rickshaw,head-on collision,Bangladesh,event,road accident
4359,Rajshahi bus collision kills 1,2018-02-11 17:15:34,https://en.prothomalo.com/bangladesh/Rajshahi-bus-collision-kills-1,dhaka-chapainawabganj highway,rajshahi,1,1,bus,,Bangladesh,event,road accident
4360,Bus-bike collision kills 7 in Feni,2018-01-07 10:10:44,https://en.prothomalo.com/bangladesh/Bus-bike-collision-kills-seven-in-Feni,feni daganbhuiyan upazila,feni,7,20,bus and motorbike,head-on collision,Bangladesh,event,road accident
4362,Transformer blast burn 6 students in city,2018-02-10 16:12:50,https://en.prothomalo.com/bangladesh/Transformer-blast-burn-6-students-in-city,bangshal area,old dhaka,0,6,transformer,transformer blasted,Bangladesh,event,road accident
4364,"Pickup van driver, helper killed in Habiganj road crash",2017-12-12 12:39:35,https://en.prothomalo.com/bangladesh/Pickup-van-driver-helper-killed-in-Habiganj-road,ratanpur area,habiganj,2,0,"pickup van, truck",collision,Bangladesh,event,road accident
4365,Feni road crash kills 2,2018-02-24 16:38:38,https://en.prothomalo.com/bangladesh/Feni-road-crash-kills-2,dhaka-chittagong highway in chhnua area of feni sadar upazila,feni,2,1,"pick-up van, covered van",covered van hit a stationary pick-up van,Bangladesh,event,road accident
4366,9 more protesting students walk out of jail,2018-08-25 12:18:59,https://en.prothomalo.com/bangladesh/9-more-protesting-students-walk-out-of-jail,dhaka central jail in keraniganj,dhaka,0,0,,demonstrations in demand of safe roads,Bangladesh,event,road accident
4367,Grameen Bank official killed in Pabna road crash,2018-01-20 13:12:42,https://en.prothomalo.com/bangladesh/Grameen-Bank-official-killed-in-Pabna-road-crash,pabna-dhaka highway in dakkhhin raghabpur area,pabna,1,0,"bus, motorcycle",,Bangladesh,event,road accident
4369,Savar road crashes kill 4,2018-04-04 13:42:47,https://en.prothomalo.com/bangladesh/Savar-road-crashes-kill-4,dhaka-aricha highway in savar,savar,4,1,"motorcycle, truck, fire service vehicle",collision between motorcycle and truck/fire service vehicle,Bangladesh,event,road accident
4370,7-yr-old girl loses arm,2018-04-23 14:45:22,https://en.prothomalo.com/bangladesh/7-yr-old-girl-loses-arm,sherua battala,bogura,0,1,truck,truck hit the girl while she was crossing the road,Bangladesh,event,road accident
4372,"Furniture showroom, car gutted in Ctg fire",2018-02-19 14:13:08,,"ak khan gate area, chittagong city",chittagong,0,0,car,fire,Bangladesh,event,road accident
4374,2 devotees die at Moulvibazar ijtema,2018-01-27 13:36:28,,ijtema ground,moulvibazar,2,0,,,Bangladesh,event,road accident
4378,Sylhet landslide death toll rises to 3,2018-03-01 18:37:06,https://en.prothomalo.com/bangladesh/2-workers-killed-in-Sylhet-stone-quarry,sylhet,sylhet,3,0,,landslide,Bangladesh,event,road accident
4383,4 killed in Sitakunda traffic accident,2014-08-08 12:36:53,https://en.prothomalo.com/bangladesh/3-killed-in-Sitakunda-traffic-accident,hatilota crossing on dhaka-chittagong highway,sitakunda,4,30,"bus, truck",head on collision,Bangladesh,event,road accident
4384,US road crash kills Bangladeshi woman,2018-02-17 13:11:50,https://en.prothomalo.com/bangladesh/US-road-crash-kills-Bangladeshi-woman,chicago,chicago,1,0,car,hit by a car while crossing a street,Bangladesh,event,road accident
4385,BRTC seeks stay on Rajib’s compensation order,2018-05-11 09:46:02,https://en.prothomalo.com/bangladesh/BRTC-seeks-stay-on-Rajib’s-compensation-order,,,1,0,,,Bangladesh,event,road accident
4386,"Bus-covered van collision kills 5, injures 20 in Bogra",2018-01-01 18:08:47,https://en.prothomalo.com/bangladesh/Bus-covered-van-collision-kills-5-injures-20-in,"noymile, bogra-dhaka highway",bogra,5,20,,,Bangladesh,event,road accident
4387,Satkhira road crash kills 1,2017-12-20 10:37:30,https://en.prothomalo.com/bangladesh/Satkhira-road-crash-kills-1-3,bhomra land port,satkhira,1,4,,,Bangladesh,event,road accident
4388,Satkhira road crash kills 1,2017-12-20 10:37:30,https://en.prothomalo.com/bangladesh/Satkhira-road-crash-kills-1-2,bhomra land port,satkhira,1,4,,,Bangladesh,event,road accident
4389,Satkhira road crash kills 1,2017-12-20 10:37:30,https://en.prothomalo.com/bangladesh/Satkhira-road-crash-kills-1,bhomra land port,satkhira,1,4,,,Bangladesh,event,road accident
4390,2 SSC examinees killed in Rajshahi road crash,2018-02-05 13:16:42,https://en.prothomalo.com/bangladesh/2-SSC-examinees-killed-in-Rajshahi-road-crash,tarapur,puthia,3,0,"motorbike, truck",truck hit motorbike,Bangladesh,event,road accident
4391,4 of a family burned in city fire,2018-03-10 12:28:54,https://en.prothomalo.com/bangladesh/4-of-a-family-burned-in-city-fire,dhaka’s kalyanpur area,dhaka,0,4,house,fire originated from the kitchen,Bangladesh,event,road accident
4393,2 killed in Gopalganj road crash,2018-02-16 10:43:50,https://en.prothomalo.com/bangladesh/accident/2-killed-in-gopalganj-road-crash,dhaka-khulna highway near ratoil horticulture centre,gopalganj,2,0,,,Bangladesh,event,road accident
4394,2 killed in Gopalganj road crash,2018-02-16 10:43:50,https://en.prothomalo.com/bangladesh/2-killed-in-Gopalganj-road-crash-2,dhaka-khulna highway near ratoil horticulture centre,gopalganj,2,0,,,Bangladesh,event,road accident
4395,2 killed in Gopalganj road crash,2018-02-16 10:43:50,https://en.prothomalo.com/bangladesh/2-killed-in-Gopalganj-road-crash,dhaka-khulna highway near ratoil horticulture centre,gopalganj,2,0,,,Bangladesh,event,road accident
4399,"Husband, wife killed in C’nawabganj road crash",2018-01-20 15:33:38,https://en.prothomalo.com/bangladesh/Husband-wife-killed-in-C’nawabganj-road-crash,ranihati,chapainawabganj,2,0,car,,Bangladesh,event,road accident
4401,Gopalganj road crash kills 3,2018-02-22 20:31:46,https://en.prothomalo.com/bangladesh/Gopalganj-road-crash-kills-3-2,dhaka-khulna highway,gopalganj,3,0,bus and microbus,head-on collision,Bangladesh,event,road accident
4404,Two killed in city road crash,2018-01-19 15:56:37,https://en.prothomalo.com/bangladesh/accident/two-killed-in-city-road-crash,shamibag area,sutrapur,2,1,motorcycle and covered van,collision between a motorcycle and a covered van,Bangladesh,event,road accident
4406,4 burnt people die in Rangpur hospital,2018-01-19 14:32:54,https://en.prothomalo.com/bangladesh/4-burnt-people-die-in-Rangpur-hospital,rangpur medical college hospital,rangpur,4,0,,burns,Bangladesh,event,road accident
4408,KUET student killed in Mymensingh blast,2018-03-25 15:01:08,https://en.prothomalo.com/bangladesh/KUET-student-killed-in-Mymensingh-blast,masterbari,bhaluka,1,3,,blast,Bangladesh,event,road accident
4409,2 of a family killed in road accident,2014-08-03 11:41:54,,dhaka-mymensingh highway in master bari area,mymensingh,2,0,bus,bus hit pedestrians,Bangladesh,event,road accident
4410,School teacher killed in road crash,2018-01-18 00:04:20,https://en.prothomalo.com/bangladesh/School-teacher-killed-in-road-crash,near bhalaipur-ramnagar bridge,damurhuda,1,0,,,Bangladesh,event,road accident
4413,3 killed in Sirajganj road crash,2015-04-18 12:12:23,https://en.prothomalo.com/bangladesh/3-killed-in-Sirajganj-road-crash-4,"baniagati, western approach road to bangabandhu bridge",sirajganj,3,27,truck and bus,head-on collision,Bangladesh,event,road accident
4414,3 killed in Sirajganj road crash,2015-04-18 12:12:23,https://en.prothomalo.com/bangladesh/3-killed-in-Sirajganj-traffic-accident,baniagati,sirajganj,3,27,truck and bus,head-on collision,Bangladesh,event,road accident
4415,3 killed in Sirajganj road crash,2015-04-18 12:12:23,https://en.prothomalo.com/bangladesh/3-killed-in-Sirajganj-road-crash-2,baniagati,sirajganj,3,27,truck and bus,head-on collision,Bangladesh,event,road accident
4416,3 killed in Sirajganj road crash,2015-04-18 12:12:23,https://en.prothomalo.com/bangladesh/3-killed-in-Sirajganj-road-crash,"baniagati, western approach road to bangabandhu bridge",sirajganj,3,27,truck and bus,head-on collision,Bangladesh,event,road accident
4418,Man killed in Magura road crash,2017-12-24 10:57:31,https://en.prothomalo.com/bangladesh/Man-killed-in-Magura-road-crash,hajamtola area of shalikha upazila on magura-jessore road,magura,1,0,,,Bangladesh,event,road accident
4419,SC order on compensation to Rajib’s family tomorrow,2018-05-21 12:45:22,,titumir college,dhaka,1,0,brtc bus,,Bangladesh,event,road accident
4420,Bus kills easy-bike driver in Magura,2018-01-04 14:41:22,https://en.prothomalo.com/bangladesh/Bus-kills-easy-bike-driver-in-Magura,magura-jessore road,magura,1,0,easy-bike,,Bangladesh,event,road accident
4421,"Mother, son killed in Moulvibazar road crash",2018-01-27 11:31:40,https://en.prothomalo.com/bangladesh/Mother-son-killed-in-Moulvibazar-road-crash,arjuna,moulvibazar,2,0,"tractor, auto-rickshaw",tractor hitting auto-rickshaw,Bangladesh,event,road accident
4423,Covered van takes elderly woman's life,2018-02-17 18:54:33,https://en.prothomalo.com/bangladesh/Woman-killed-by-van-in-Badda,"badda, in front of fuji tower",dhaka,1,0,covered van,hit while crossing the road,Bangladesh,event,road accident
4424,Teen burnt in Lakshimpur fire caused by gas leak,2018-01-03 12:10:32,https://en.prothomalo.com/bangladesh/Teen-burnt-in-Lakshimpur-fire-caused-by-gas-leak,ramganj town,lakshimpur,1,0,tea stall,cooking gas cylinder leak,Bangladesh,event,road accident
4425,7 killed in Barisal road crash,2015-04-16 14:06:23,,dhaka-barisal highway near kashipur,barisal,7,0,"truck, human hauler",truck hit human hauler coming from opposite direction,Bangladesh,event,road accident
4427,"Over 300,000 unfit vehicles in country!",2018-06-06 18:19:41,https://en.prothomalo.com/bangladesh/Over-300-000-unfit-vehicles-in-country,roads and highways,,0,0,unfit vehicles,unfit vehicles,Bangladesh,,road accident
4428,"Policeman, wife, daughter die in accident",2014-07-31 11:54:42,,dhaka-chittagong highway at batisha in chouddagram upazila,comilla,3,0,private car,"tyre burst, crashed into railing",Bangladesh,event,road accident
4430,2 bikers killed in Comilla road crash,2017-12-15 12:30:39,https://en.prothomalo.com/bangladesh/2-bikers-killed-in-Comilla-road-crash,chiora on dhaka-chittagong highway,comilla,2,1,motorcycle,,Bangladesh,event,road accident
4434,Road safety awareness missing despite recent movement: PM Hasina,2018-09-12 21:28:50,https://en.prothomalo.com/bangladesh/Road-safety-awareness-missing-despite-recent,roads,,0,0,speedy vehicles,people crossing roads full of speedy vehicles,Bangladesh,event,road accident
4435,Comilla road crash kills minor boy,2017-12-31 12:59:05,https://en.prothomalo.com/bangladesh/Comilla-road-crash-kills-minor-boy,nurpur,comilla,1,0,,,Bangladesh,event,road accident
4436,Maheshkhali gas cylinder blast kills 2,2018-02-14 17:08:46,https://en.prothomalo.com/bangladesh/Maheshkhali-gas-cylinder-blast-kills-2,adinath temple fair,"maheshkhali, cox’s bazar",2,3,balloon selling cart,gas cylinder explosion,Bangladesh,event,road accident
4437,Jessore road crash kills van driver,2017-12-31 11:31:03,https://en.prothomalo.com/bangladesh/Jessore-road-crash-kills-van-driver,jessore-khulna highway in front of singa adarsha degree college,jessore,1,2,rickshaw van,road accident,Bangladesh,event,road accident
4438,"Bus hits home minister’s car, this time",2018-08-11 13:33:58,https://en.prothomalo.com/bangladesh/Bus-hits-home-minister’s-car-now,sher-e-bangla nagar area,dhaka,0,0,"car, bus",bus hit car,Bangladesh,event,road accident
4439,20 killed in separate traffic accidents,2014-07-29 18:16:55,,"noakhali, narayanganj, bhola, faridpur and chittagong","noakhali, narayanganj, bhola, faridpur and chittagong",20,0,,,Bangladesh,event,road accident
4440,7 photojournalists injured in 'BCL attacks',2018-08-05 19:27:06,https://en.prothomalo.com/bangladesh/6-photojournalists-injured-in-attacks-by-‘BCL’,jhigatala and science laboratory areas,dhaka,0,7,,attacks by unruly youths,Bangladesh,event,road accident
4442,Nawshaba on 4-day remand,2018-08-05 18:20:27,https://en.prothomalo.com/bangladesh/Actress-Nawshaba-on-4-day-remand,dhaka,dhaka,0,0,,,Bangladesh,event,road accident
4447,"Transport workers occupy Dhaka streets, halt bus services",2018-08-04 13:41:23,https://en.prothomalo.com/bangladesh/Transport-workers-occupy-Dhaka-streets-halt-bus,,,0,0,bus,,Bangladesh,event,road accident
4450,Housewife killed in Chapainawabganj road crash,2018-01-10 20:29:36,https://en.prothomalo.com/bangladesh/Housewife-killed-in-Chapainawabganj-road-crash,lalapara area,chapainawabganj sadar upazila,1,0,,,Bangladesh,event,road accident
4451,"‘Sir, please take the right side’, protestors to Tofail",2018-08-01 20:23:45,https://en.prothomalo.com/bangladesh/‘Sir-please-take-the-right-side’-protestors-to,near shahbagh,dhaka,0,0,car,student protests blocking road,Bangladesh,event,road accident
4455,3 killed in Cox’s Bazar road crash,2018-02-19 17:55:50,https://en.prothomalo.com/bangladesh/accident/3-killed-in-coxs-bazar-road-crash,,,0,0,car,hit or crash,Bangladesh,event,road accident
4457,Narayanganj bus plunge kills 2,2018-03-10 12:29:14,https://en.prothomalo.com/bangladesh/Narayanganj-bus-plunge-kills-2,dhaka-chittagong highway,narayanganj,2,20,bus,bus drove into a ditch,Bangladesh,event,road accident
4458,BGB man killed in city road crash,2018-01-06 12:31:05,,near bijoy sarani,tejgaon,1,0,motorcycle and bus,bus knocked down ropon's motorcycle,Bangladesh,event,road accident
4462,3 workers killed in Sylhet stone quarries,2018-03-28 08:34:55,https://en.prothomalo.com/bangladesh/3-workers-killed-in-Sylhet-stone-quarries,lampapani area of jaflong and companiganj upazila,sylhet,3,0,quarry extraction equipment,stone extraction,Bangladesh,event,road accident
4463,"Picnic bus plunge hurts 20 students, teachers",2018-02-26 16:02:51,https://en.prothomalo.com/bangladesh/Picnic-bus-plunge-hurts-20-students-teachers,"masjidpara, akhaura",brahmanbaria,0,20,bus,plunged into a roadside ditch,Bangladesh,event,road accident
4464,4 killed  in Sylhet stone quarry,2018-02-26 13:35:48,https://en.prothomalo.com/bangladesh/4-killed-in-Sylhet-stone-quarry,bholaganj area,sylhet,4,3,quarry extraction equipment,landslide,Bangladesh,event,road accident
4465,2 killed in Bogra road crash,2018-01-04 09:54:51,https://en.prothomalo.com/bangladesh/2-killed-in-Bogra-road-crash,bablatala on bogra-shantahar road,bogra,2,5,truck,road accident,Bangladesh,event,road accident
4468,3 killed in road crash,2018-02-24 16:46:08,https://en.prothomalo.com/bangladesh/3-killed-in-road-crash-5,south keraniganj,south keraniganj,3,1,"auto-rickshaw, truck",truck hit auto-rickshaw,Bangladesh,event,road accident
4469,3 killed in road crash,2018-02-24 16:46:08,https://en.prothomalo.com/bangladesh/3-killed-in-road-crash-4,south keraniganj,dhaka,3,1,"auto-rickshaw, truck",truck hit auto-rickshaw,Bangladesh,event,road accident
4470,3 killed in road crash,2018-02-24 16:46:08,https://en.prothomalo.com/bangladesh/3-killed-in-road-crash-2,"south keraniganj, on the outskirts of the capital",south keraniganj,3,1,"auto-rickshaw, goods-laden truck",goods-laden truck hit the auto-rickshaw,Bangladesh,event,road accident
4472,JCD leader killed as bus hits BNP leader's motorcade,2018-06-21 09:59:40,,amirabad area on the dhaka-chattogram highway,chittagong,1,0,"bus, smaller vehicles",shyamoli paribahan bus hit four smaller vehicles,Bangladesh,event,road accident
4474,4 Ijtema devotees killed in bus-truck collision,2018-01-22 11:09:51,https://en.prothomalo.com/bangladesh/Bus-Truck-collision-kills-4-Ijtema-devotees-in,"lalabazar, dakkhin surma upazila",sylhet,4,10,"bus, truck",head-on collision,Bangladesh,event,road accident
4475,Child among 3 killed in Rangunia landslide,2017-12-30 20:35:20,https://en.prothomalo.com/bangladesh/3-including-child-die-in-Rangunia,rangunia,chittagong,3,0,,landslide during hill cutting,Bangladesh,event,road accident
4476,Dhamrai road accident kills 3,2014-07-21 11:24:50,https://en.prothomalo.com/bangladesh/Dhamrai-road-accident-kills-3,dhaka-aricha highway in srirampur area,dhaka,3,20,bus and a truck,head-on collision,Bangladesh,event,road accident
